
------ 3390258342 ::  ------

3572846242::CN::IGUI_DST_Fitness_val_Trip = "-%1% 绊倒几率",
3572846242::EN::IGUI_DST_Foraging_hdr_LootTable = "Loot Table [Unlocks]:",
3572846242::CN::IGUI_DST_Foraging_hdr_LootTable = "拾取清单 [解锁]",
3572846242::EN::IGUI_DST_Foraging_hdr_Rarities = "Rare Loot [Unlocks]:",
3572846242::CN::IGUI_DST_Foraging_hdr_Rarities = "稀有拾取 [解锁]",
3572846242::EN::IGUI_DST_Foraging_hdr_SearchFocus = "Search Focus [Unlocks]:",
3572846242::CN::IGUI_DST_Foraging_hdr_SearchFocus = "搜寻专注 [解锁]",
3572846242::EN::IGUI_DST_Foraging_val_precision = "More zone information precision",
3572846242::CN::IGUI_DST_Foraging_val_precision = "较高的区域信息精确度",
3572846242::EN::IGUI_DST_Foraging_val_precision_max = "Maximum zone information precision",
3572846242::CN::IGUI_DST_Foraging_val_precision_max = "最高的区域信息精度",
3572846242::EN::IGUI_DST_Foraging_val_showloot = "(Enable Loot Unlocks in Options)",
3572846242::CN::IGUI_DST_Foraging_val_showloot = "在选项中启用拾取解锁",
3572846242::EN::IGUI_DST_Foraging_val_showrareloot = "(Enable Rare Loot Unlocks in Options)",
3572846242::CN::IGUI_DST_Foraging_val_showrareloot = "在选项中启用稀有拾取解锁",
3572846242::EN::IGUI_DST_Lightfooted_info_StacksWithNimble = "Stacks with Nimble.",
3572846242::CN::IGUI_DST_Lightfooted_info_StacksWithNimble = "与灵巧叠加.",
3572846242::EN::IGUI_DST_Lightfooted_val_FootstepRadius = "%1 tiles footstep sound radius",
3572846242::CN::IGUI_DST_Lightfooted_val_FootstepRadius = "%1 格脚步声半径",
3572846242::EN::IGUI_DST_Mechanics_val_Advanced = "Advanced Mechanics",
3572846242::CN::IGUI_DST_Mechanics_val_Advanced = "高级技工",
3572846242::EN::IGUI_DST_Mechanics_val_Basic = "Basic Mechanics",
3572846242::CN::IGUI_DST_Mechanics_val_Basic = "初级技工",
3572846242::EN::IGUI_DST_Mechanics_val_Intermediate = "Intermediate Mechanics",
3572846242::CN::IGUI_DST_Mechanics_val_Intermediate = "中级技工",
3572846242::EN::IGUI_DST_Multiplier_hdr = "Multipliers:",
3572846242::CN::IGUI_DST_Multiplier_hdr = "倍率: ",
3572846242::EN::IGUI_DST_Nimble_info_Stacks = "All movement; stacks with Lightfooted",
3572846242::CN::IGUI_DST_Nimble_info_Stacks = "所有移动; 与轻巧叠加",
3572846242::EN::IGUI_DST_Nimble_val_CombatWalk = "+%1% walk speed in combat stance",
3572846242::CN::IGUI_DST_Nimble_val_CombatWalk = "+%1% 战斗姿态行走速度",
3572846242::EN::IGUI_DST_Nimble_val_FootstepNoise = "-%1% footstep noise",
3572846242::CN::IGUI_DST_Nimble_val_FootstepNoise = "-%1% 脚步声",
3572846242::EN::IGUI_DST_Option_AutoLearn = "Show Auto-Learn Recipes",
3572846242::CN::IGUI_DST_Option_AutoLearn = "显示自动学会配方",
3572846242::EN::IGUI_DST_Option_AutoLearnLimit = "Auto-Learn Limit",
3572846242::CN::IGUI_DST_Option_AutoLearnLimit = "自动学习限制",
3572846242::EN::IGUI_DST_Option_AutoLearnLimit_tooltip = "This will limit the Auto-Learn entries in the Tooltip.",
3572846242::CN::IGUI_DST_Option_AutoLearnLimit_tooltip = "这将限制工具提示中自动学习的条目数量",
3572846242::EN::IGUI_DST_Option_AutoLearn_tooltip = "Adds any Auto-Learned Recipes to tooltips per-level (Will honour Inventive Trait)",
3572846242::CN::IGUI_DST_Option_AutoLearn_tooltip = "在每级技能提示中添加自动学会的配方 (受 '创新者' 特质影响)",
3572846242::EN::IGUI_DST_Option_BuildRecipesLimit = "Buildable Recipe Limit",
3572846242::CN::IGUI_DST_Option_BuildRecipesLimit = "可建造配方限制",
3572846242::EN::IGUI_DST_Option_BuildRecipesLimit_tooltip = "This will limit the Buildable Recipe entries in the Tooltip.",
3572846242::CN::IGUI_DST_Option_BuildRecipesLimit_tooltip = "这将限制工具提示中可建造配方的条目数量",
3572846242::EN::IGUI_DST_Option_CraftRecipesLimit = "Craftable Recipe Limit",
3572846242::CN::IGUI_DST_Option_CraftRecipesLimit = "制作合成配方限制",
3572846242::EN::IGUI_DST_Option_CraftRecipesLimit_tooltip = "This will limit the Craftable Recipe entries in the Tooltip.",
3572846242::CN::IGUI_DST_Option_CraftRecipesLimit_tooltip = "这将限制工具提示中可制作合成配方的条目数量",
3572846242::EN::IGUI_DST_Option_Foraging = "Foraging Tooltips",
3572846242::CN::IGUI_DST_Option_Foraging = "搜寻提示",
3572846242::EN::IGUI_DST_Option_ForagingLootUnlocks = "Enable Loot Unlocks",
3572846242::CN::IGUI_DST_Option_ForagingLootUnlocks = "启用拾取解锁",
3572846242::EN::IGUI_DST_Option_ForagingLootUnlocks_tooltip = "When enabled Foraging Skill Tooltip will display forageable loot per level",
3572846242::CN::IGUI_DST_Option_ForagingLootUnlocks_tooltip = "启用后, 搜寻技能提示将显示每级可拾取的物品",
3572846242::EN::IGUI_DST_Option_ForagingRareLootUnlocks = "Enable Rare Loot Unlocks",
3572846242::CN::IGUI_DST_Option_ForagingRareLootUnlocks = "启用稀有拾取解锁",
3572846242::EN::IGUI_DST_Option_ForagingRareLootUnlocks_tooltip = "When enabled Foraging Skill Tooltip will display forageable rare loot per level",
3572846242::CN::IGUI_DST_Option_ForagingRareLootUnlocks_tooltip = "启用后, 搜寻技能提示将显示每级可拾取的稀有物品",
3572846242::EN::IGUI_DST_Option_UnlimitedHint = "Recipe Display Limits (0 = Unlimited)",
3572846242::CN::IGUI_DST_Option_UnlimitedHint = "配方显示限制 (0 = 无限制)",
3572846242::EN::IGUI_DST_Option_UnlockBuild = "Show Buildable Recipes",
3572846242::CN::IGUI_DST_Option_UnlockBuild = "显示可建造配方",
3572846242::EN::IGUI_DST_Option_UnlockBuild_tooltip = "Adds any Buildable Recipes to tooltips per-level",
3572846242::CN::IGUI_DST_Option_UnlockBuild_tooltip = "在每级技能提示中添加可建造的配方",
3572846242::EN::IGUI_DST_Option_UnlockCraft = "Show Craftable Recipes",
3572846242::CN::IGUI_DST_Option_UnlockCraft = "显示可制作配方",
3572846242::EN::IGUI_DST_Option_UnlockCraft_tooltip = "Adds any Craftable Recipes to tooltips per-level",
3572846242::CN::IGUI_DST_Option_UnlockCraft_tooltip = "在每级技能提示中添加可制作的配方",
3572846242::EN::IGUI_DST_Recipe_more = "(+%1 more)",
3572846242::CN::IGUI_DST_Recipe_more = " (+%1 更多)",
3572846242::EN::IGUI_DST_Reloading_note_XP = "XP gain reduced ~37%",
3572846242::CN::IGUI_DST_Reloading_note_XP = "经验获取减少约 37%",
3572846242::EN::IGUI_DST_Running_val_RunSpeed = "+%1% run speed",
3572846242::CN::IGUI_DST_Running_val_RunSpeed = "+%1% 奔跑速度",
3572846242::EN::IGUI_DST_ShortBlade_val_JawStabMult = "×%1 Jaw-stab chance multiplier",
3572846242::CN::IGUI_DST_ShortBlade_val_JawStabMult = "×%1 处决几率倍率",
3572846242::EN::IGUI_DST_Sneaking_info_Stacks = "Only applies while crouched; stacks with Lightfooted, Nimble, footwear & traits.",
3572846242::CN::IGUI_DST_Sneaking_info_Stacks = "仅在蹲下时生效; 与轻巧、灵活技能、鞋类及特性效果叠加.",
3572846242::EN::IGUI_DST_Sneaking_val_SneakDetect_Neg = "-%1% detection while crouched",
3572846242::CN::IGUI_DST_Sneaking_val_SneakDetect_Neg = "-%1% 蹲下时被察觉",
3572846242::EN::IGUI_DST_Sneaking_val_SneakDetect_Pos = "+%1% detection while crouched",
3572846242::CN::IGUI_DST_Sneaking_val_SneakDetect_Pos = "+%1% 蹲下时被察觉",
3572846242::EN::IGUI_DST_Sneaking_val_SneakNoise_Reduction = "-%1% footstep noise while crouched",
3572846242::CN::IGUI_DST_Sneaking_val_SneakNoise_Reduction = "-%1% 蹲下时脚步声",
3572846242::EN::IGUI_DST_Strength_auto_GenericCarry = "Carry capacity scales with Strength and other factors.",
3572846242::CN::IGUI_DST_Strength_auto_GenericCarry = "携带容量随力量等级及其他因素提升.",
3572846242::EN::IGUI_DST_Strength_stat_HeavierLoads = "Allows carrying heavier loads.",
3572846242::CN::IGUI_DST_Strength_stat_HeavierLoads = "允许携带更重的负荷.",
3572846242::EN::IGUI_DST_Strength_stat_MeleeDamage = "Increases melee damage.",
3572846242::CN::IGUI_DST_Strength_stat_MeleeDamage = "增加近战伤害.",
3572846242::EN::IGUI_DST_Strength_val_Block = "+%1% Block chance",
3572846242::CN::IGUI_DST_Strength_val_Block = "+%1% 格挡几率",
3572846242::EN::IGUI_DST_Strength_val_Carry = "Carry capacity: %1",
3572846242::CN::IGUI_DST_Strength_val_Carry = "携带容量: %1",
3572846242::EN::IGUI_DST_Strength_val_ClimbTall = "+%1% Tall fence climb chance bonus",
3572846242::CN::IGUI_DST_Strength_val_ClimbTall = "+%1% 高栅栏攀爬成功率加成",
3572846242::EN::IGUI_DST_Strength_val_MeleeMult = "%1% Melee damage multiplier",
3572846242::CN::IGUI_DST_Strength_val_MeleeMult = "%1% 近战伤害倍率",
3572846242::EN::IGUI_DST_Strength_val_MuscleStrain = "x%1 Muscle strain multiplier",
3572846242::CN::IGUI_DST_Strength_val_MuscleStrain = "x%1 肌肉劳损倍率",
3572846242::EN::IGUI_DST_Strength_val_PushKD_Base = "%1% Push knockdown multiplier",
3572846242::CN::IGUI_DST_Strength_val_PushKD_Base = "%1% 推搡击倒倍率",
3572846242::EN::IGUI_DST_Strength_val_PushKD_Strong = "%1% Push knockdown with Strong",
3572846242::CN::IGUI_DST_Strength_val_PushKD_Strong = "%1% 推搡击倒率 (拥有身强力壮特性)",
3572846242::EN::IGUI_DST_Tailoring_hdr_Defense = "Padding Defense:",
3572846242::CN::IGUI_DST_Tailoring_hdr_Defense = "衬垫防御加成",
3572846242::EN::IGUI_DST_Tailoring_hdr_Recovery = "Patch Recovery:",
3572846242::CN::IGUI_DST_Tailoring_hdr_Recovery = "补丁回收",
3572846242::EN::IGUI_DST_Tailoring_val_Denim = "Denim: +%1% Scratch, +%2% Bite, +%3% Bullet",
3572846242::CN::IGUI_DST_Tailoring_val_Denim = "牛仔布: +%1% 防抓, +%2% 防咬, +%3% 防弹",
3572846242::EN::IGUI_DST_Tailoring_val_FixHoles = "Fully repair holes with matching fabric",
3572846242::CN::IGUI_DST_Tailoring_val_FixHoles = "用匹配的面料彻底修补破洞",
3572846242::EN::IGUI_DST_Tailoring_val_Leather = "Leather: +%1% Scratch, +%2% Bite, +%3% Bullet",
3572846242::CN::IGUI_DST_Tailoring_val_Leather = "皮革条: +%1% 防抓, +%2% 防咬, +%3% 防弹",
3572846242::EN::IGUI_DST_Tailoring_val_Rag = "Rags: +%1% Scratch",
3572846242::CN::IGUI_DST_Tailoring_val_Rag = "碎布条:+%1% 防抓",
3572846242::EN::IGUI_DST_Tailoring_val_Recovery = "%1% chance to recover patch on removal",
3572846242::CN::IGUI_DST_Tailoring_val_Recovery = "移除时有 %1% 的几率回收补丁",
3572846242::EN::IGUI_DST_Tracking_hdr = "Trackable Game:",
3572846242::CN::IGUI_DST_Tracking_hdr = "可追踪的猎物:",
3572846242::EN::IGUI_DST_Tracking_hdr_Advanced = "Advanced Tracking:",
3572846242::CN::IGUI_DST_Tracking_hdr_Advanced = "高级追踪",
3572846242::EN::IGUI_DST_Tracking_val_Behavior = "Behavior Interpretation (Feeding vs Moving)",
3572846242::CN::IGUI_DST_Tracking_val_Behavior = "行为解读 (进食与移动)",
3572846242::EN::IGUI_DST_Tracking_val_LargeGame = "Large (e.g. Deer)",
3572846242::CN::IGUI_DST_Tracking_val_LargeGame = "大型 (例如鹿)",
3572846242::EN::IGUI_DST_Tracking_val_Master = "Detect all spoor types",
3572846242::CN::IGUI_DST_Tracking_val_Master = "检测所有踪迹类型",
3572846242::EN::IGUI_DST_Tracking_val_SmallGame = "Small (e.g. Rabbits)",
3572846242::CN::IGUI_DST_Tracking_val_SmallGame = "小型 (例如兔子)",
3572846242::EN::IGUI_DST_Tracking_val_SpeciesID = "Species Identification (Shows exact animal)",
3572846242::CN::IGUI_DST_Tracking_val_SpeciesID = "物种识别 (显示具体的动物)",
3572846242::EN::IGUI_DST_Tracking_val_Speed = "%1% Faster Track Inspection",
3572846242::CN::IGUI_DST_Tracking_val_Speed = "%1% 踪迹检查速度",
3572846242::EN::IGUI_DST_Trait_Active = "Trait active: %1",
3572846242::CN::IGUI_DST_Trait_Active = "特性生效: %1",
3572846242::EN::IGUI_DST_Trait_Cleared = "Negative traits removed.",
3572846242::CN::IGUI_DST_Trait_Cleared = "负面特性已移除.",
3572846242::EN::IGUI_DST_Trait_Gained = "Trait gained: %1",
3572846242::CN::IGUI_DST_Trait_Gained = "获得特性: %1",
3572846242::EN::IGUI_DST_Trait_Removed = "Trait removed: %1",
3572846242::CN::IGUI_DST_Trait_Removed = "特性移除: %1",
3572846242::EN::IGUI_DST_Trapping_val_CatchChance = "+%1 Catch Chance",
3572846242::CN::IGUI_DST_Trapping_val_CatchChance = "+%1 捕获概率",
3572846242::EN::IGUI_DST_Trapping_val_RareGame = "Better odds of rarer game",
3572846242::CN::IGUI_DST_Trapping_val_RareGame = "更大概率抓到稀有猎物",
3572846242::EN::IGUI_DST_Weapon_BruiserBonus = "Bruiser Bonus:",
3572846242::CN::IGUI_DST_Weapon_BruiserBonus = "重击者加成",
3572846242::EN::IGUI_DST_Weapon_BruiserBonus_val_Damage = "+%1% Damage",
3572846242::CN::IGUI_DST_Weapon_BruiserBonus_val_Damage = "+%1% 伤害",
3572846242::EN::IGUI_DST_Weapon_BruiserBonus_val_Endurance = "-%1% Endurance cost",
3572846242::CN::IGUI_DST_Weapon_BruiserBonus_val_Endurance = "-%1% 耐力消耗",
3572846242::EN::IGUI_DST_Weapon_BruiserBonus_val_Range = "+%1% Attack range",
3572846242::CN::IGUI_DST_Weapon_BruiserBonus_val_Range = "+%1% 攻击范围",
3572846242::EN::IGUI_DST_Weapon_val_BaseMult = "×%1 Damage multiplier",
3572846242::CN::IGUI_DST_Weapon_val_BaseMult = "×%1 伤害倍率",
3572846242::EN::IGUI_DST_Weapon_val_Block = "+%1% Block chance",
3572846242::CN::IGUI_DST_Weapon_val_Block = "+%1% 格挡几率",
3572846242::EN::IGUI_DST_Weapon_val_Crit = "+%1% Critical chance",
3572846242::CN::IGUI_DST_Weapon_val_Crit = "+%1% 暴击几率",
3572846242::EN::IGUI_DST_Weapon_val_InjuryNeg = "-%1% Injury chance",
3572846242::CN::IGUI_DST_Weapon_val_InjuryNeg = "-%1% 致伤几率",
3572846242::EN::IGUI_DST_Weapon_val_InjuryPos = "+%1% Injury chance",
3572846242::CN::IGUI_DST_Weapon_val_InjuryPos = "+%1% 致伤几率",
3572846242::EN::IGUI_DST_Weapon_val_MuscleStrain = "-%1% Muscle strain gain",
3572846242::CN::IGUI_DST_Weapon_val_MuscleStrain = "-%1% 肌肉劳损增长量",
3572846242::EN::IGUI_DST_Weapon_val_Speed = "+%1% Attack speed",
3572846242::CN::IGUI_DST_Weapon_val_Speed = "+%1% 攻击速度",
3572846242::EN::IGUI_DST_hdr_BuildReqBase = "Recipes [Buildable]:",
3572846242::CN::IGUI_DST_hdr_BuildReqBase = "可建造项 [已解锁]: ",
3572846242::EN::IGUI_DST_hdr_CraftReqBase = "Recipes [Craftable]:",
3572846242::CN::IGUI_DST_hdr_CraftReqBase = "配方 [已解锁]: ",
3572846242::EN::IGUI_DST_hdr_RecipesAuto = "Recipes [Auto-learned]:",
3572846242::CN::IGUI_DST_hdr_RecipesAuto = "配方 [自动学会]: ",
3572846242::EN::IGUI_DST_hdr_RecipesAutoInventive = "Recipes [Inventive-learned]:",
3572846242::CN::IGUI_DST_hdr_RecipesAutoInventive = "配方 [创新者学会]: ",
3572846242::EN::IGUI_Foraging_val_More = "More",
3572846242::CN::IGUI_Foraging_val_More = "更多",
3572846242::EN::IGUI_SearchMode_Categories_ForestRarities = "Forest Rarities",
3572846242::CN::IGUI_SearchMode_Categories_ForestRarities = "森林稀有品",


------ 2841969842 :: [B42/B41] Motorious Zone - Hot Pursuit Add-on ------

2841969842::EN::IGUI_VehicleNamefhqHP300ZXZ32Police = "Nissan 300ZX (Z32) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHP300ZXZ32Police = "尼桑 300ZX (Z32)警车",
2841969842::EN::IGUI_VehicleNamefhqHPCappuccinoPE = "Suzuki Cappuccino Parking Enforcement",
2841969842::CN::IGUI_VehicleNamefhqHPCappuccinoPE = "铃木卡布奇诺 停车执法车",
2841969842::EN::IGUI_VehicleNamefhqHPChaserJZX90Police = "Toyota Chaser (X90) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPChaserJZX90Police = "丰田 Chaser (X90)警车",
2841969842::EN::IGUI_VehicleNamefhqHPE36M3CoupePolice = "BMW M3 Coupe (E36) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPE36M3CoupePolice = "宝马 M3 双门跑车 (E36)警车",
2841969842::EN::IGUI_VehicleNamefhqHPE36M3GTRPolice = "BMW M3 GTR (E36) Police Interceptor",
2841969842::CN::IGUI_VehicleNamefhqHPE36M3GTRPolice = "宝马 M3 GTR (E36)警用拦截车",
2841969842::EN::IGUI_VehicleNamefhqHPE36Police = "BMW 318i (E36) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPE36Police = "宝马 318i (E36)警车",
2841969842::EN::IGUI_VehicleNamefhqHPFBMustangGTSheriff = "Ford Mustang Fox Body GT Sheriff",
2841969842::CN::IGUI_VehicleNamefhqHPFBMustangGTSheriff = "福特 野马 Fox Body GT治安官警车",
2841969842::EN::IGUI_VehicleNamefhqHPGT40Police = "Ford GT40 Mk. I Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPGT40Police = "福特 GT40 Mk.I警车",
2841969842::EN::IGUI_VehicleNamefhqHPImprezaPolice = "Subaru Impreza (GC) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPImprezaPolice = "斯巴鲁 翼豹 (GC)警车",
2841969842::EN::IGUI_VehicleNamefhqHPImprezaWRXWagRanger = "Subaru Impreza (GF) Park Ranger",
2841969842::CN::IGUI_VehicleNamefhqHPImprezaWRXWagRanger = "斯巴鲁 翼豹 旅行车 (GF)公园巡逻车",
2841969842::EN::IGUI_VehicleNamefhqHPLM002Ranger = "Lamborghini LM002 Park Ranger",
2841969842::CN::IGUI_VehicleNamefhqHPLM002Ranger = "兰博基尼 LM002公园巡逻车",
2841969842::EN::IGUI_VehicleNamefhqHPR32GTRPolice = "Nissan Skyline GT-R (R32) Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPR32GTRPolice = "尼桑 天际线 GT-R (R32)警车",
2841969842::EN::IGUI_VehicleNamefhqHPStratosPolice = "Lancia Stratos Police Car",
2841969842::CN::IGUI_VehicleNamefhqHPStratosPolice = "蓝旗亚 斯特拉托斯警车",
2841969842::EN::IGUI_VehicleNamefhqHPStratosRallyRanger = "Lancia Stratos Park Ranger",
2841969842::CN::IGUI_VehicleNamefhqHPStratosRallyRanger = "蓝旗亚 斯特拉托斯公园巡逻车",
2841969842::EN::IGUI_VehicleNamefhqHPSupraMkIVPoliceHP = "Toyota Supra (A80) Highway Partol",
2841969842::CN::IGUI_VehicleNamefhqHPSupraMkIVPoliceHP = "丰田 Supra A80高速巡逻警车",


------ 3153010942 :: First Aid VHS Tapes ------

3153010942::EN::RM_0108c5d1-11e6-43c2-90c1-0feeba2ed37d = "You'll be back outside playing in no time!",
3153010942::CN::RM_0108c5d1-11e6-43c2-90c1-0feeba2ed37d = "你很快就能回到外面玩耍了!",
3153010942::EN::RM_02bae59d-870c-4ad3-bb43-dd8b870446e6 = "Now, the bandage should be changed when it gets dirty.",
3153010942::CN::RM_02bae59d-870c-4ad3-bb43-dd8b870446e6 = "现在,如果绷带脏了就该更换.",
3153010942::EN::RM_0a955928-1fc0-4225-a561-44df8628d02f = "Let's clean the area up with some disinfectant.",
3153010942::CN::RM_0a955928-1fc0-4225-a561-44df8628d02f = "我们用消毒剂清理一下伤口.",
3153010942::EN::RM_0aee39a1-9950-474b-aae0-dae80124d458 = "Soak them in disinfectant...",
3153010942::CN::RM_0aee39a1-9950-474b-aae0-dae80124d458 = "浸上消毒液...",
3153010942::EN::RM_0c157be1-f321-44e2-8917-ab224e3f4ad6 = "KY Medical Frontline",
3153010942::CN::RM_0c157be1-f321-44e2-8917-ab224e3f4ad6 = "肯塔基医疗前线",
3153010942::EN::RM_0c345731-1411-4efb-8312-a529961f3351 = "Couldn't agree more...",
3153010942::CN::RM_0c345731-1411-4efb-8312-a529961f3351 = "非常同意...",
3153010942::EN::RM_0d5616f5-78ac-42e8-b069-b89cb598e268 = "A young boy has fallen over while playing outside...",
3153010942::CN::RM_0d5616f5-78ac-42e8-b069-b89cb598e268 = "一个小男孩在外面玩耍时摔倒了...",
3153010942::EN::RM_0f65574e-0f1f-4690-88a2-022746dee0f8 = "And clean the wound that way!",
3153010942::CN::RM_0f65574e-0f1f-4690-88a2-022746dee0f8 = "然后这样清理伤口!",
3153010942::EN::RM_0f8e07ad-b3f5-4b21-80f5-c64dc10f63cf = "What do you need then?",
3153010942::CN::RM_0f8e07ad-b3f5-4b21-80f5-c64dc10f63cf = "那你需要什么?",
3153010942::EN::RM_0fa9366e-13f4-4467-aba6-5304a7eb4188 = "Suture needle, thread, and holder?",
3153010942::CN::RM_0fa9366e-13f4-4467-aba6-5304a7eb4188 = "缝合针、线和持针器?",
3153010942::EN::RM_0fce3ea2-011c-4534-b11d-4178f44b0a7c = "And what happened?",
3153010942::CN::RM_0fce3ea2-011c-4534-b11d-4178f44b0a7c = "发生了什么事?",
3153010942::EN::RM_138352a4-027b-4887-8aee-34fca2ca0047 = "Is that advised?",
3153010942::CN::RM_138352a4-027b-4887-8aee-34fca2ca0047 = "这靠谱吗?",
3153010942::EN::RM_13e8bd88-0cd4-4e0c-bd76-17d5c684c508 = "We'll keep her in for now to get some rest.",
3153010942::CN::RM_13e8bd88-0cd4-4e0c-bd76-17d5c684c508 = "我们会暂时让她住院休息.",
3153010942::EN::RM_1536de5b-09ea-4fec-9c34-fc34d42e7351 = "You are watching, KY Medical Frontline!",
3153010942::CN::RM_1536de5b-09ea-4fec-9c34-fc34d42e7351 = "您正在观看的是,肯塔基医疗前线!",
3153010942::EN::RM_1b04adcb-10e8-4d10-af2b-10c4909eba3e = "Looks like fractures in both arms.",
3153010942::CN::RM_1b04adcb-10e8-4d10-af2b-10c4909eba3e = "看起来双臂骨折.",
3153010942::EN::RM_1f5d52d8-6514-4d21-812e-1d4e0327a291 = "Just about, Doctor Monroe, but she's in a lot of pain.",
3153010942::CN::RM_1f5d52d8-6514-4d21-812e-1d4e0327a291 = "勉强清醒,门罗医生,但她非常痛苦.",
3153010942::EN::RM_21901f79-fada-4ca9-9b3f-abb858981b77 = "I need something sturdy and straight...",
3153010942::CN::RM_21901f79-fada-4ca9-9b3f-abb858981b77 = "我需要一些坚固且直的东西...",
3153010942::EN::RM_245cd3ec-befe-4c66-ae25-ef0d76a2ed75 = "All done.",
3153010942::CN::RM_245cd3ec-befe-4c66-ae25-ef0d76a2ed75 = "全部完成了.",
3153010942::EN::RM_24775385-1fee-4feb-b398-a386ddc19367 = "This will take a long time to heal.",
3153010942::CN::RM_24775385-1fee-4feb-b398-a386ddc19367 = "这需要很长时间才能愈合.",
3153010942::EN::RM_2545a7a6-eb49-4276-a220-d5c4070905ff = "Episode 3: Fractures",
3153010942::CN::RM_2545a7a6-eb49-4276-a220-d5c4070905ff = "第3集: 骨折",
3153010942::EN::RM_265d9c66-1d2f-4b61-9b1a-bbba54b8160d = "No exit wounds...",
3153010942::CN::RM_265d9c66-1d2f-4b61-9b1a-bbba54b8160d = "没有贯穿伤口...",
3153010942::EN::RM_275ebc0e-2908-4b1b-9cbe-627c090d5e51 = "Say thank you to the doctor now, Timothy.",
3153010942::CN::RM_275ebc0e-2908-4b1b-9cbe-627c090d5e51 = "蒂莫西,现在跟医生说谢谢.",
3153010942::EN::RM_27da0158-8a6f-45ec-856e-4ca5ffc6fe29 = "Your name, sir?",
3153010942::CN::RM_27da0158-8a6f-45ec-856e-4ca5ffc6fe29 = "先生,您的名字是?",
3153010942::EN::RM_292959d8-fcde-4158-a78b-7d8b3c236759 = "Timmy",
3153010942::CN::RM_292959d8-fcde-4158-a78b-7d8b3c236759 = "蒂米",
3153010942::EN::RM_2bdb434e-5455-45ef-9daf-2fe00d6c9467 = "Crashed right into the tree!",
3153010942::CN::RM_2bdb434e-5455-45ef-9daf-2fe00d6c9467 = "直接撞到了树上!",
3153010942::EN::RM_2d4908a3-53e7-49a7-80f3-8c21efa14bf5 = "Just remove the dirty bandage and reapply a clean one.",
3153010942::CN::RM_2d4908a3-53e7-49a7-80f3-8c21efa14bf5 = "只需要取下脏的绷带,换上干净的.",
3153010942::EN::RM_2ef2d6f8-2307-4319-8e7e-f4c31c6e1e0d = "Now we need to cover this up...",
3153010942::CN::RM_2ef2d6f8-2307-4319-8e7e-f4c31c6e1e0d = "现在我们需要包扎...",
3153010942::EN::RM_34c42968-effe-44d7-8c14-225e00f6294b = "Cover the burnt areas...",
3153010942::CN::RM_34c42968-effe-44d7-8c14-225e00f6294b = "覆盖烧伤区域...",
3153010942::EN::RM_35a05ac0-148a-44f3-ac24-e93edc010416 = "Nurse, administer some painkillers!",
3153010942::CN::RM_35a05ac0-148a-44f3-ac24-e93edc010416 = "护士,给她一些止痛药!",
3153010942::EN::RM_388c645c-3e90-4dca-9502-64a9c087147c = "The time is 15:30pm...",
3153010942::CN::RM_388c645c-3e90-4dca-9502-64a9c087147c = "时间是下午15:30...",
3153010942::EN::RM_39b66d48-daa0-4a53-ac0f-90271a0039e9 = "Follow Doctor Monroe and staff and learn how to treat a skin laceration in this edition of KY Medical Frontline.",
3153010942::CN::RM_39b66d48-daa0-4a53-ac0f-90271a0039e9 = "跟随门罗医生和工作人员,学习如何治疗皮肤撕裂伤,这是本期肯塔基医疗前线的内容.",
3153010942::EN::RM_3b9a4f93-87e8-45ca-af75-ee448277e539 = "What about this tree branch?",
3153010942::CN::RM_3b9a4f93-87e8-45ca-af75-ee448277e539 = "这根树枝怎么样?",
3153010942::EN::RM_3d938661-1f0b-4795-ac1d-591d0c1d942d = "A local mechanic suffers third degree burns to his arm...",
3153010942::CN::RM_3d938661-1f0b-4795-ac1d-591d0c1d942d = "一位本地机械师的手臂遭受三度烧伤...",
3153010942::EN::RM_3f5423ec-531d-4980-a441-e2bf05b2799c = "One bullet removed!",
3153010942::CN::RM_3f5423ec-531d-4980-a441-e2bf05b2799c = "一颗子弹取出来了!",
3153010942::EN::RM_3f56da7f-0c17-45a2-8051-9841a9ddb219 = "We should start by removing the foreign objects...",
3153010942::CN::RM_3f56da7f-0c17-45a2-8051-9841a9ddb219 = "我们应该先取出异物...",
3153010942::EN::RM_495298db-17f8-448b-aae9-6fef5a5bfee2 = "<loud groans>",
3153010942::CN::RM_495298db-17f8-448b-aae9-6fef5a5bfee2 = "<大声呻吟>",
3153010942::EN::RM_4afedd24-e56a-47fb-901d-f8ee9da8842d = "He was dropped off at A&E by a colleague...",
3153010942::CN::RM_4afedd24-e56a-47fb-901d-f8ee9da8842d = "他被同事送到了急诊室...",
3153010942::EN::RM_4bffe1e6-d5a5-418a-a1fd-88633d1dca40 = "Driving too fast and lost control...",
3153010942::CN::RM_4bffe1e6-d5a5-418a-a1fd-88633d1dca40 = "开得太快,失控了...",
3153010942::EN::RM_4c0fd70e-e6b4-46a3-a5dd-141cc1568015 = "Sorry there, Timmy...",
